Date,Fitting,True_value,Predicted,Upper_Bound,Lower_Bound
2013-01-01,73.78393676372153,73.7839367630164,,,
2013-01-02,77.66224631906879,77.0686400778631,,,
2013-01-03,78.14421206764017,77.74650632843363,,,
2013-01-04,79.1335820450943,78.75194066026573,,,
2013-01-05,79.46383881077736,79.20053756944563,,,
2013-01-06,79.87489832310499,79.65980260342963,,,
2013-01-07,80.29731902023958,80.11515036495601,,,
2013-01-08,80.85606565742751,80.67270716025673,,,
2013-01-09,81.7040931638177,81.48243756196804,,,
2013-01-10,82.81926301172035,82.53899139376718,,,
2013-01-11,83.6526162893571,83.37707954327728,,,
2013-01-12,83.96394001053937,83.76031138631329,,,
2013-01-13,84.31861507639641,84.14972275433672,,,
2013-01-14,84.68153252166604,84.53363224845295,,,
2013-01-15,85.367950663708,85.18807372348464,,,
2013-01-16,86.22237840587098,86.00273827440546,,,
2013-01-17,86.6615670990823,86.47484401725613,,,
2013-01-18,87.69027593265083,87.43997924911537,,,
2013-01-19,87.76383172902638,87.61090290910938,,,
2013-01-20,87.91337576290276,87.79974486457075,,,
2013-01-21,88.07055222241844,87.98352372645638,,,
2013-01-22,88.78219456766855,88.63413091293356,,,
2013-01-23,89.32561858638812,89.16826615892803,,,
2013-01-24,89.59876713593094,89.4695434453144,,,
2013-01-25,89.64553309958296,89.56331051550154,,,
2013-01-26,90.2507594560099,90.11967474096592,,,
2013-01-27,90.8209341374058,90.6695842719964,,,
2013-01-28,91.37456463195932,91.21124375268478,,,
2013-01-29,92.40988034563428,92.1744854901803,,,
2013-01-30,92.13322837194733,92.03604207602416,,,
2013-01-31,92.071283338547,92.0175037074172,,,
2013-02-01,91.96585395705134,91.9494264938454,,,
2013-02-02,91.86787634746985,91.86996812415305,,,
2013-02-03,91.77642180039452,91.78987724954489,,,
2013-02-04,91.68802205557844,91.70735046372712,,,
2013-02-05,91.99994357827556,91.96914363146976,,,
2013-02-06,91.34891098318582,91.42014240205395,,,
2013-02-07,91.6742479349184,91.66776704996532,,,
2013-02-08,91.6717642393933,91.67262892485648,,,
2013-02-09,91.74027184346268,91.72966187388565,,,
2013-02-10,91.79199295004452,91.77998478257116,,,
2013-02-11,91.84442535915802,91.83000577251173,,,
2013-02-12,91.8951211309856,91.88014138903134,,,
2013-02-13,91.94913161504856,91.93308294145253,,,
2013-02-14,92.0731777840672,92.04720552572726,,,
2013-02-15,91.44037032344605,91.51052197186472,,,
2013-02-16,91.55798536779842,91.579546897172,,,
2013-02-17,91.63430180053084,91.63958006960246,,,
2013-02-18,91.6972603724993,91.6912797959506,,,
2013-02-19,92.01210585080362,91.96682709835416,,,
2013-02-20,93.15292677915744,92.97320808998296,,,
2013-02-21,93.8400428216224,93.64635376717618,,,
2013-02-22,93.9835538465824,93.85024012205405,,,
2013-02-23,93.93276788168056,93.8604418112078,,,
2013-02-24,93.92142125495629,93.87941131467473,,,
2013-02-25,93.9100854045027,93.88669843293498,,,
2013-02-26,94.5202394672661,94.42381591759585,,,
2013-02-27,95.63866662866371,95.43356026381645,,,
2013-02-28,95.86789971605738,95.7201582666327,,,
2013-03-01,96.8241282243899,96.60524702301848,,,
2013-03-02,96.94016077660758,96.80066316645528,,,
2013-03-03,97.1186647269834,97.00923992047323,,,
2013-03-04,97.28884636958092,97.20273297447233,,,
2013-03-05,98.68310382079515,98.44271176903692,,,
2013-03-06,99.59843939126988,99.33960576623252,,,
2013-03-07,100.7343583166594,100.42712623241596,,,
2013-03-08,101.54656658229564,101.25916691068444,,,
2013-03-09,101.43448307038176,101.2808751749096,,,
2013-03-10,101.40998797953716,101.31995136010455,,,
2013-03-11,101.41126865046655,101.35806236522724,,,
2013-03-12,101.84515792108628,101.75462101377632,,,
2013-03-13,101.67566394534995,101.647533862071,,,
2013-03-14,102.86187682085593,102.68220604936688,,,
2013-03-15,103.09689522455749,102.96685751859246,,,
2013-03-16,103.06634819608198,102.9906965771282,,,
2013-03-17,103.07363529640432,103.02835928570744,,,
2013-03-18,103.05871960701892,103.03346210556025,,,
2013-03-19,104.50945703871416,104.2979702335745,,,
2013-03-20,105.12720261454533,104.92684785707576,,,
2013-03-21,104.770633254429,104.69937145988136,,,
2013-03-22,104.9214349412242,104.8563216868209,,,
2013-03-23,104.9857610510144,104.94027588478043,,,
2013-03-24,105.06837134326332,105.029705096352,,,
2013-03-25,105.14605515502844,105.11328202754927,,,
2013-03-26,105.30238320183912,105.26199086359178,,,
2013-03-27,106.64776388443038,106.44245825901528,,,
2013-03-28,106.58661765089532,106.48101011955777,,,
2013-03-29,106.60970995518652,106.5396078810941,,,
2013-03-30,106.63350407685436,106.59042412702487,,,
2013-03-31,106.68260142395118,106.6496572545869,,,
2013-04-01,106.72710175591236,106.70208868339373,,,
2013-04-02,106.82387331227083,106.79597010833136,,,
2013-04-03,106.82619237290696,106.80987843208688,,,
2013-04-04,107.29089721670384,107.21827424298002,,,
2013-04-05,108.37460102984448,108.18777237457228,,,
2013-04-06,108.2032080966752,108.12081357438808,,,
2013-04-07,108.11015705603133,108.07000023836902,,,
2013-04-08,108.03159939016528,108.01919171646516,,,
2013-04-09,107.9496319946175,107.95234289472224,,,
2013-04-10,107.24001434092624,107.33663901410206,,,
2013-04-11,107.1899048084082,107.24958634379814,,,
2013-04-12,107.10585070805143,107.1543247508873,,,
2013-04-13,106.20265356922984,106.35108806647987,,,
2013-04-14,105.37620421600904,105.5694441393206,,,
2013-04-15,104.55556894715556,104.77676924097122,,,
2013-04-16,103.90405590526608,104.1184299834724,,,
