Date,Fitting,True_value,Predicted,Upper_Bound,Lower_Bound
2013-01-01,70.47954206430333,70.47954206264593,,,
2013-01-02,76.33334718575034,75.10932903309958,,,
2013-01-03,75.77369595785694,75.57698841949085,,,
2013-01-04,74.95606781595302,75.02544940380413,,,
2013-01-05,75.30221566402953,75.22040901158088,,,
2013-01-06,75.48886566230141,75.41941590031226,,,
2013-01-07,75.67565457940414,75.61264420591803,,,
2013-01-08,75.03341220690709,75.13945326987098,,,
2013-01-09,74.78998412442155,74.85873393799442,,,
2013-01-10,75.10588093962095,75.06018980337176,,,
2013-01-11,75.6846962406814,75.56034477852259,,,
2013-01-12,75.57815445163531,75.56921037876108,,,
2013-01-13,75.57623042329742,75.57026396199996,,,
2013-01-14,75.57812576408112,75.5739297047246,,,
2013-01-15,76.37166895692522,76.21011791048619,,,
2013-01-16,77.38883654348446,77.14429392399296,,,
2013-01-17,78.01500383651461,77.82413396220244,,,
2013-01-18,78.87381993112204,78.64381627201975,,,
2013-01-19,78.7531434009454,78.70973558242419,,,
2013-01-20,78.80801773514608,78.77303927413072,,,
2013-01-21,79.52067517584666,79.36111528313705,,,
2013-01-22,80.12548129734158,79.9602264680392,,,
2013-01-23,80.73108157157391,80.56157887615649,,,
2013-01-24,82.47074802118101,82.06901531089453,,,
2013-01-25,80.63856884772096,80.89532363876096,,,
2013-01-26,81.11105429503655,81.06052766959054,,,
2013-01-27,81.27686118059451,81.23095302609647,,,
2013-01-28,81.46059226745335,81.41080819636066,,,
2013-01-29,82.64220895078114,82.39018204865589,,,
2013-01-30,83.13931473925015,82.975596746418,,,
2013-01-31,83.05538442050874,83.02274498224321,,,
2013-02-01,83.00652542312223,82.99811247182048,,,
2013-02-02,82.4579532710819,82.55904437081286,,,
2013-02-03,81.99784084901171,82.11052181389078,,,
2013-02-04,81.54894427660554,81.66716265335299,,,
2013-02-05,81.80801053095855,81.789372637392,,,
2013-02-06,81.9276103644773,81.90537603727165,,,
2013-02-07,81.49695693004188,81.57986949360732,,,
2013-02-08,82.89944828219626,82.63823544858353,,,
2013-02-09,82.71251346578705,82.68974118360643,,,
2013-02-10,82.76100250252064,82.73868674519797,,,
2013-02-11,82.79014710306686,82.77463949614507,,,
2013-02-12,81.39999319502918,81.66921336605495,,,
2013-02-13,81.00884825997827,81.14964617857329,,,
2013-02-14,80.97337016100094,81.02233973311387,,,
2013-02-15,81.37354564581544,81.31394411857119,,,
2013-02-16,82.21832359845237,82.04033316305566,,,
2013-02-17,82.9613234076022,82.77001908780306,,,
2013-02-18,83.70003527735159,83.49989443009365,,,
2013-02-19,84.43367328861109,84.22872582868033,,,
2013-02-20,84.406719609742,84.3513097578,,,
2013-02-21,82.9339598668969,83.2006300828667,,,
2013-02-22,82.87920795898177,82.94664707014161,,,
2013-02-23,82.45487029700843,82.56055042991537,,,
2013-02-24,82.0739049718529,82.1799003167279,,,
2013-02-25,81.69060890694044,81.7982644933604,,,
2013-02-26,82.15188556025764,82.09203967247015,,,
2013-02-27,84.96140573233386,84.38480051443354,,,
2013-02-28,85.36073148420232,85.14201469702861,,,
2013-03-01,85.65354038734462,85.5234020083829,,,
2013-03-02,85.94607148474151,85.83950922201878,,,
2013-03-03,86.24991760441,86.15076125041149,,,
2013-03-04,86.56675652622546,86.46954569301049,,,
2013-03-05,87.12539019026961,86.98171625340301,,,
2013-03-06,87.28882475478757,87.2140473740172,,,
2013-03-07,86.20988643730693,86.39808140095371,,,
2013-03-08,86.83688585955905,86.75041607603374,,,
2013-03-09,86.82575479744828,86.81004732536272,,,
2013-03-10,86.88770142609324,86.87014740274127,,,
2013-03-11,86.94950276054402,86.93170647643242,,,
2013-03-12,87.52707103710753,87.40591096521294,,,
2013-03-13,88.9475685940054,88.6311808606315,,,
2013-03-14,91.44485244013649,90.85753708983034,,,
2013-03-15,92.79550472324368,92.366944258472,,,
2013-03-16,91.79791251906846,91.8673139393131,,,
2013-03-17,91.24015881151192,91.34110829895162,,,
2013-03-18,90.70620211907858,90.82586881419556,,,
2013-03-19,90.8691587233999,90.8633972622562,,,
2013-03-20,88.72875345144124,89.15361483214002,,,
2013-03-21,88.02870272762954,88.2711200547666,,,
2013-03-22,86.9066102193984,87.2018272705034,,,
2013-03-23,86.96678916122653,87.04107617728465,,,
2013-03-24,86.82822130964895,86.8909733979523,,,
2013-03-25,86.69851095275011,86.75050203043929,,,
2013-03-26,88.05443271287648,87.80228107653521,,,
2013-03-27,88.65739763753962,88.48086883435003,,,
2013-03-28,88.36676125869559,88.37653164438893,,,
2013-03-29,88.0899534383979,88.1389388388034,,,
2013-03-30,87.83139106776814,87.8908474791197,,,
2013-03-31,87.58873799495221,87.65114169426164,,,
2013-04-01,87.36033285801125,87.4227324538924,,,
2013-04-02,88.77333346419542,88.50758171893592,,,
2013-04-03,89.10137580247476,88.97486369580692,,,
2013-04-04,87.9046144949282,88.10510461637533,,,
2013-04-05,86.46530497126837,86.79115019101557,,,
2013-04-06,86.13255424058028,86.28009818712181,,,
2013-04-07,85.62050156293338,85.7700182350756,,,
2013-04-08,85.11213969100653,85.26011928405133,,,
2013-04-09,84.60450293522803,84.7514011114438,,,
2013-04-10,85.473354277833,85.34488863975903,,,
2013-04-11,84.65836508679168,84.79946233707211,,,
2013-04-12,86.08297863486813,85.8317605928371,,,
2013-04-13,85.17265991882155,85.2984351457937,,,
2013-04-14,84.61379758104191,84.74962757528186,,,
2013-04-15,84.05115027410184,84.19713580199289,,,
2013-04-16,83.33469967217404,83.51736593372856,,,
