Date,Cotton
2013-10-18,83.02
2013-10-19,83.04
2013-10-20,83.01
2013-10-21,83.02
2013-10-22,82.5
2013-10-23,80.79
2013-10-24,79.25
2013-10-25,78.85
2013-10-26,78.86
2013-10-27,78.82
2013-10-28,78.83
2013-10-29,78.31
2013-10-30,77.85
2013-10-31,77.17
2013-11-01,76.68
2013-11-02,76.49
2013-11-03,76.28
2013-11-04,76.04
2013-11-05,76.04
2013-11-06,77.14
2013-11-07,76.65
2013-11-08,76.89
2013-11-09,76.89
2013-11-10,76.9
2013-11-11,76.82
2013-11-12,77.99
2013-11-13,77.88
2013-11-14,76.67
2013-11-15,77.22
2013-11-16,77.38
2013-11-17,77.56
2013-11-18,77.76
2013-11-19,77.57
2013-11-20,78.08
2013-11-21,78.49
2013-11-22,77.34
2013-11-23,77.43
2013-11-24,77.34
2013-11-25,78.5
2013-11-26,79.17
2013-11-27,78.58
2013-11-28,78.58
2013-11-29,78.54
2013-11-30,78.57
2013-12-01,78.6
2013-12-02,78.63
2013-12-03,78.53
2013-12-04,78.87
2013-12-05,78.81
2013-12-06,80.33
2013-12-07,80.25
2013-12-08,80.29
2013-12-09,80.29
2013-12-10,80.61
2013-12-11,82.14
2013-12-12,82.98
2013-12-13,83.07
2013-12-14,83.12
2013-12-15,83.17
2013-12-16,83.26
2013-12-17,82.92
2013-12-18,83.09
2013-12-19,83.26
2013-12-20,83.15
2013-12-21,82.89
2013-12-22,82.65
2013-12-23,82.41
2013-12-24,82.11
2013-12-25,82.58
2013-12-26,82.94
2013-12-27,84.04
2013-12-28,84.23
2013-12-29,84.48
2013-12-30,84.76
2013-12-31,84.73
2014-01-01,84.73
2014-01-02,84.18
2014-01-03,83.35
2014-01-04,83.54
2014-01-05,83.65
2014-01-06,83.71
2014-01-07,84.56
2014-01-08,83.18
2014-01-09,82.94
2014-01-10,82.86
2014-01-11,83.2
2014-01-12,83.5
2014-01-13,83.84
2014-01-14,83.67
2014-01-15,84.41
2014-01-16,86.03
2014-01-17,86.97
2014-01-18,87.17
2014-01-19,87.43
2014-01-20,87.69
2014-01-21,87.97
2014-01-22,88.0
2014-01-23,87.07
2014-01-24,87.04
2014-01-25,86.06
2014-01-26,85.15
2014-01-27,84.15
2014-01-28,84.31
2014-01-29,85.45
2014-01-30,86.03
2014-01-31,85.89
2014-02-01,85.59
2014-02-02,85.31
2014-02-03,84.98
2014-02-04,85.24
2014-02-05,85.66
2014-02-06,85.96
2014-02-07,87.5
2014-02-08,87.37
2014-02-09,87.35
2014-02-10,87.24
2014-02-11,88.56
2014-02-12,88.16
2014-02-13,87.77
2014-02-14,87.5
2014-02-15,87.6
2014-02-16,87.67
2014-02-17,87.75
2014-02-18,87.91
2014-02-19,86.83
2014-02-20,86.25
2014-02-21,87.03
2014-02-22,87.66
2014-02-23,88.29
2014-02-24,89.13
2014-02-25,87.18
2014-02-26,86.29
2014-02-27,87.69
2014-02-28,87.18
2014-03-01,87.55
2014-03-02,87.87
2014-03-03,88.14
2014-03-04,89.1
2014-03-05,88.7
2014-03-06,91.53
2014-03-07,90.89
2014-03-08,91.16
2014-03-09,91.39
2014-03-10,91.64
2014-03-11,91.46
2014-03-12,92.17
2014-03-13,91.76
2014-03-14,92.25
2014-03-15,92.16
2014-03-16,92.11
2014-03-17,91.98
2014-03-18,92.97
2014-03-19,92.57
2014-03-20,92.18
2014-03-21,93.5
2014-03-22,92.67
2014-03-23,91.99
2014-03-24,91.04
2014-03-25,94.06
2014-03-26,91.79
2014-03-27,92.57
2014-03-28,93.76
2014-03-29,93.42
2014-03-30,93.2
2014-03-31,93.04
2014-04-01,91.96
2014-04-02,91.47
2014-04-03,90.83
2014-04-04,92.18
2014-04-05,91.61
2014-04-06,91.18
2014-04-07,90.64
2014-04-08,91.65
2014-04-09,90.38
2014-04-10,89.15
2014-04-11,90.0
2014-04-12,90.2
2014-04-13,90.43
2014-04-14,90.71
2014-04-15,90.4
2014-04-16,90.97
2014-04-17,90.08
